Category,Country,State,Age,Gender,Before-Environment,Before-ClassworkStress,Before-HomeworkStress,Before-HomeworkHours,Now-Environment,Now-ClassworkStress,Now-HomeworkStress,Now-HomeworkHours,FamilyRelationships,FriendRelationships
SchoolCollegeTraining,US,TX,14.0,Male,Physical,1.0,3.0,28.0,Virtual,3.0,5.0,4.5,2.0,-1.0
SchoolCollegeTraining,US,MD,13.0,Male  ,Physical,5.0,4.0,2.0,Virtual  ,3.0,5.0,2.5,1.0,-2.0
Homeschool,US,TX,16.0,Female,Virtual,1.0,3.0,10.0,Virtual,3.0,5.0,15.0,1.0,-1.0
SchoolCollegeTraining,US,GA,17.0,Male,Physical,4.0,4.0,6.0,Physical,5.0,1.0,6.0,0.0,-2.0
SchoolCollegeTraining,GB,,14.0,Male,Physical,3.0,4.0,4.0,Physical,5.0,5.0,6.0,0.0,1.0
SchoolCollegeTraining,US,WV,17.0,Male,Physical,1.0,1.0,3.0,Virtual,5.0,6.0,14.0,2.0,-2.0
SchoolCollegeTraining,,MO,18.0,Female,Physical,2.0,3.0,3.0,Virtual,3.0,5.0,6.0,-2.0,-1.0
SchoolCollegeTraining,US,PA,17.0,Male,Physical,1.0,3.0,3.0,Virtual,5.0,5.0,5.0,0.0,-3.0
Homeschool,US,IL,16.0,Female,Hybrid,3.0,3.0,3.0,Hybrid,2.0,4.0,1.0,-3.0,2.0
SchoolCollegeTraining,US,MN  ,15.0,Female,Physical,2.0,2.0,1.0,Virtual,1.0,2.0,5.0,1.0,-1.0
,US,TX,18.0,Male,Hybrid,3.0,2.0,4.0,Virtual,36.25,3.0,4.0,0.0,-5.5
Homeschool,US,,15.0,Female,Physical,2.0,3.0,4.0,Virtual,4.0,5.0,8.0,-1.0,-1.0
Homeschool,US,FL,14.0,Female,Virtual,1.0,1.0,3.0,Virtual,5.0,6.0,5.0,0.0,2.0
SchoolCollegeTraining,US,FL,15.0,Female,Physical,2.0,2.0,4.0,Virtual,2.0,3.0,7.0,0.0,2.0
SchoolCollegeTraining,US,FL,15.0,Female,Physical,2.0,3.0,5.0,Virtual,6.0,6.0,7.0,-1.0,-1.0
SchoolCollegeTraining,,CO,14.0,Female,Physical,5.0,4.0,9.0,Virtual,6.0,5.0,10.0,-1.0,-3.0
SchoolCollegeTraining  ,,WA,15.0,,Physical,0.0,0.0,0.0,Virtual,3.0,3.0,6.0,2.0,0.0
SchoolCollegeTraining,US,UT,17.0,Female,Physical,3.0,5.0,3.5,Physical,3.0,2.0,1.5,0.0,0.0
